"type","environment","flow","state","ownerId","created","modified"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Induccion a Terceros V2","Started","9ec26276-c70a-4a37-ac45-5cb100c322cf","2022-08-24","2022-09-27"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Induccion a Terceros V2","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-03","2022-10-03"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Induccion a Terceros: Version 3","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-03","2022-10-03"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Induccion a Terceros: Version 3","Started","9ec26276-c70a-4a37-ac45-5cb100c322cf","2022-08-29","2022-08-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Induccion a Terceros: Version 3: 2","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-05","2022-10-05"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción a terceros V1","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-05","2022-10-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de Contratistas new V3","Stopped","1d62689f-3dd1-40f5-8dfc-27ce72c81020","2022-10-17","2022-10-17"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de Contratistas new V3","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-07","2022-10-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas new V1","Stopped","1d62689f-3dd1-40f5-8dfc-27ce72c81020","2022-10-17","2022-10-17"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas new V1","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-06","2022-10-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas new V2 ","Stopped","1d62689f-3dd1-40f5-8dfc-27ce72c81020","2022-10-17","2022-10-17"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas new V2 ","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-07","2022-10-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas new V2 : 2","Stopped","1d62689f-3dd1-40f5-8dfc-27ce72c81020","2022-10-17","2022-10-17"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas new V4","Stopped","1d62689f-3dd1-40f5-8dfc-27ce72c81020","2022-10-17","2022-10-17"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas new V4","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-10-07","2022-10-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Inducción de contratistas versión 4","Stopped","d05b5922-9391-4f41-87e2-37863ee9256a","2022-09-02","2022-09-05"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Informacion de la lista","Started","870bb150-dd85-44b9-9d91-7d23c8e34fc0","2026-05-20","2026-05-20"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Informe de cierre de turno","Stopped","b39580c6-a0f2-4691-b00f-d599dcc1ec97","2024-02-21","2026-02-11"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM001 - Aviso de ensayos I+D","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2023-06-28","2024-01-25"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM003 - Aviso de Problemas - Recordatorio","Stopped","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-11-28","2025-08-11"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM003 - Aviso de problemas - Aprobacion","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-11-25","2025-08-20"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM003 - Aviso de problemas - Registro","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2024-11-28","2025-08-20"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","JM008 - Generar tareas para proyectos de desarrollo","Started","4c19df3f-b5d7-44f6-bcf1-6d90229b41ae","2023-11-02","2023-11-30"
